STATE,LGA,WARD,POLLING UNIT,,APC,PDP,LP,NNPP,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,EJOVOVWI P/S OVWERERE,,40,27,15,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,"OVU GRAMMER SCHOOL,OVU",,21,36,16,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,OPEN SPACE BY LONDON IKWE-UFUOMA STRRET,,30,17,28,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,"EZEBUE PRIMARY SCHOOL,OGORIVO-OVU",,31,13,12,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,"OVIORE  WATERBOARD,OVIORE",,14,1,20,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,OVU INLAND TOWN HALL,,9,7,8,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,OKE/OKE VILLAGE,,40,47,28,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,EMAKA/EMAKA VILLAGE,,66,41,26,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,OVU INLAND/IGHENE STREET OVU,,15,37,24,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,EKPAN/EKPAN P/S,,31,84,19,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,URHODO/ONUKOBALE P/S,,42,30,6,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,URHODO/URHODO P/S,,85,43,34,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,OVU INLAND/OVU P/S II,,41,21,98,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,OVIORE/OVIORE POST OFFICE,,70,26,122,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,OVIORE/OMOISE VILLAGE,,36,48,67,4,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,OVIORE/OVIORE P/S II,,32,60,77,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,OVIORE/OVIORE P/S I,,32,50,61,9,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,OPEN SPACE BY OKPE STREET JUNCTION,,2,9,2,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI/AKPOJEVWI ST.JUNCTION,,55,16,16,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI OSE FAMILY HALL,,60,29,25,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI/OZIEGBE,,61,52,43,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,OPEN SPACE BY URUOGO T-JUNCTION,,21,21,16,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,OPEN SPACE BY AVENUE JUNCTION KOKORI,,17,10,13,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,"ONIVWITA HALL,AKPOROBA STREET",,15,7,12,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,"UVWEDI STREET HALL,KOKORI",,4,2,2,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,ANAKA/ANAKA WATERSIDE,,32,82,27,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,ERHOKORI/ERHOKORI P/S,,73,27,11,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,OKPE/OKPE VILLAGE P/S,,34,29,0,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,ERHOIKE/ERHOIKE P/S,,51,20,12,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI II KOKORI G/S,,69,17,46,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI II/PRIMARY HEALTH CENTRE,,25,41,24,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI II/OKPE STREET HALL II,,30,41,25,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI II/OKPE STREET HALL I,,33,69,34,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,OKORI II/KOKORI GIRLS SCHOOL,,91,53,58,15,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI II/BOLOKOR GATE,,73,59,29,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI II/OLD POST OFFICE,,93,53,53,10,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI I/EDIAGBON ST.OSE STREET,,61,26,46,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON III,KOKORI I/EKRAKA ST.HALL,,58,29,46,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,NEW COMMUNITY TOWN HALL,,27,17,28,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,"WATERBOARD,ORHOAKPOR",,29,31,13,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,ORHOAKPOR/OGWA STREET JUNCTION,,68,50,19,8,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,ORHOAKPOR/FRONT OF SAGBODJE COMP,,33,47,13,2,,,,,,,,, 
DELTA,ETHIOPE EAST,AGBON IV,ORHOAKPOR/OKEREKA GATE,,44,38,39,4,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,ORHOAKPOR/ BY MARKET SQUARE,,36,76,35,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,ORHOAKPOR/ORHOAKPOR P/S,,39,43,33,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,ORHOAKPOR/ORHOAKPOR T/HALL,,42,43,38,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,ORHOAKPOR/IKORO ST.JUNCTION,,85,57,28,4,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,ORHOAKPOR/ORHOAKPOR SECONDARY SCHOOL,,34,62,42,4,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,OKODAFE EREGBE P/S II,,27,74,45,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,"POSTAL AGENCY,OKPARA WATERSIDE",,9,35,22,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,EJENAVWO PRIMARY SCHOOL,,2,3,3,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,IGUN/IGUN GIRLS SCHOOL II,,30,38,47,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,OKORORI /OKOROBI VILLAGE,,17,24,23,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,IGUN/IGUN G/S,,27,31,53,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,IGUN/IGUN MATERNITY CENTER,,42,40,110,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,IGUN/OHWOYOVWE P/S,,18,62,118,5,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,AGBORHORO/AGBORHORO VILLAGE,,10,70,7,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,OKODAFE/EREGBE P/S I,,22,42,23,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,OKOROBI/OKOROBI VILAGE,,23,21,19,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,OKOROGBA/OKURIVO/EGBO P/S OKUROVO,,33,26,41,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,OKPARA WATERSIDE/OHWERE GIRLS SCHOOL,,27,58,69,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,OKPARA WSATERSIDE/EROGWERE P/S,,28,60,122,6,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,OKPARA WATERSIDE/ERHOKPARA P/S,,30,44,97,6,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON V,OKPARA WATERSIDE/OKPARA GIRLS,,25,44,88,4,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,"MAGISTRATES COURT,EKU ",,8,11,38,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,OPEN SPACE BY ARUOTURE STREET JUNCTION STREET,,11,11,12,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,OPEN SPACE BY ESVEE OMEKEH STREET JUNCTION,,6,21,46,4,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,OPEN SPACE BY FOUR JUNCTION ALONG UBOGU STRRET EKU,,6,17,58,5,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,"OPEN SPACE BY ONORUKAYE AGHOGHOVBIA LAYOUT JUNCTION ,EKU",,3,4,4,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,STATE SCHOOL OF NURSING AUDITORIUM,,5,66,23,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,"OPEN SPACE BY CONVENANT SCHOOL JUNCTION ,EKU",,10,10,9,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,"OPEN SPACE BY NEPA JUNCTION,EKU",,12,24,59,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II/MADEON P/S II,,36,22,106,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II/MECHANIC VILLAGE,,14,18,29,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II BY MARKET SQUARE,,31,23,85,4,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II/EKU T/HALL II,,39,75,90,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON IV,EKU I/INEWEH P/S,,24,22,90,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II/AGANBI P/S II,,18,55,88,4,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II/PASTORS SCHOOL,,18,43,75,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,ECHI/ECHI P/S,,53,68,44,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,ORHONO EKU/ORHONO P/S,,46,30,79,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II /AGANBI G/S I,,32,41,82,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II/CHRIS STREET,,46,37,70,5,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,"EKU II,HOSPITAL QUARTERS",,13,62,135,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II/AGANBI P/S I,,24,84,82,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II/MADEON P/S I,,26,24,114,5,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU II/EKU T/HALL I,,15,39,89,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU I/NEWEH P/S II,,40,26,118,3,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VI,EKU I/NEWEH P/S I,,63,24,88,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,EKRAKA/AGBUE P/S,,23,64,14,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,EDIAGBON/EDIAGBON VILLAGE,,25,35,39,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,EGBO/IBRUVWE INT.SECONDARY SCHOOL,,38,32,49,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,EGBO/ISIORHO VILLAGE,,22,28,12,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,SAMAGIDI/EMEGHWU HALL,,7,32,8,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,EGBO/URHUSHUE VILLAGE,,29,64,10,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,EGBO/SECONDARY COMMUNITY SCHOOL,,41,47,17,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,"EGBO/EGBO P/S,EGBOGHO",,24,63,26,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,EGBO/ONOHUAKPOR VILLAGE,,25,38,21,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,EGBO/EKRUDU-EGBO,,27,38,15,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,URHUOKPE/URHUOKPE VILLAGE,,79,73,21,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VII,SAMAGIDI/IBRUVWE P/S,,58,55,49,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VIII,OPEN SPACE BY UKUDJAVWERI JUNCTION,,21,42,27,2,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VIII,OPEN  SPACE BY ISIOKOLO MARKET SQUARE,,68,29,23,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VIII,FRONT OF SOHJWO'S GATE EKREBUO,,30,54,47,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VIII,"FRONT OF AMAGRE GATE,EKREBUO",,52,53,58,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VIII,"FRONT OF LOCAL GOVERNMENT COUNCIL,ISIOKOLO",,25,60,69,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VIII,FRONT OF EJOMAFUVWE'S COMPAND,,39,126,81,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON VIII,OLD POLICE STATION ISIOKOLO,,51,82,90,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,UMU-ONAI VILLAGE SQUARE(OPEN SPACE),,13,11,47,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,ATUMA IGA PRIMARY SCHOOL-OGBE-ANI/AJAJI,,14,90,64,4,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,EZI-EKE OGBA-OKODE UMU-EKEKE(OPEN SPACE),,19,29,52,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,ANIDINMA PRIMARY SCHOOL-ANIDINMA CAMP AND ENVIRONS II,,2,11,23,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,AKWUKWU IGBO GRAMMAR SCHOOL,,23,20,10,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,ATUMA IGA TOWN HALL-OGBE-ONIHA/OGBE OBI,,13,52,59,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,AGBOGIDI PRIMARY SCHOOL-OGBE ONISHE/OGBE ANI/OGBE IYASE,,36,68,141,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,OKOTOMI HALL-OKOTOMI CAMP AND ENVIRONS,,3,4,30,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,OGWA-AWOLO OPEN SPACE,,3,22,31,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,ANIDINMA PRIMARY SCHOOL-ANIDIMA CAMP AND ENVIRONS I,,3,24,36,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,ODOZIENU PRIMARY SCHOOL-ODOZIENU CAMP AND ENVIRONS,,19,74,84,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,D-10 CAMP HALL,,4,2,34,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,OPP.OBI'S  PALACE UMUONAI/UMUEKEKEKE AND ENVIRONS,,41,37,119,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,COMMUNITY PARK IDUMU-OMONA,,15,42,59,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,ILOH OGBE-ONISHE OPEN SPACE,,26,25,21,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,AKWUKWU,OGBE ANI COMMUNITY HALL,,12,42,52,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,UBUENI PRIMARY SCHOOL OKUDU/OKELE/OGOR,,10,42,34,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,EKPECHOR TOWN HALL,,13,21,18,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,AGINIKE-OJENIGBIRO NEW AETTLEMENT(OPEN SPACE),,8,18,58,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,OKEOPEN SPACE,,0,35,9,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,UCHEBE OLOKO TOWN HALL,,94,46,41,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,OKURU TOWN HALL,,19,48,19,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,OKURU TOWN HALLII,,16,65,58,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,UBUENI PRIMARY SCHOOL-ARAKA OGOLI/ARAKODIEKE/OGBE OGAOLE,,34,40,33,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,AMOKHALE TOWN HALL,,23,27,65,3,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,ST.PAUL'S G/SCHOOL  EKPECHORI/EKPECHOR VILLAGE II,,5,36,40,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,EBU,OGWA IYEGBU-IYEGBU CAMPS AND ENVIRONS I,,13,56,41,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,"UGELE HALL UKWUMEGE QTRS,ILLAH",,7,94,62,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,ILLAH TOWN HALL/UKUMEGBE/ONYIA UMUYA CAMPS/OGBEOBI/OGBEONAJE,,14,74,108,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,OPEN SPACE OBIOMA FARM SETTLEMENT,,1,1,15,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,UKWU-OJI UMUAGU OPEN SPACE,,5,35,48,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,UMUOGWU UNITY HALL ILLAH,,7,40,77,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,OPEN SPACE OGBO-ENYI CAMP ILLAH,,13,1,29,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,OMORKA PRIMARY SCHOOL UMUAGWU/UMUTEI CAMPS/UKPOLOHWU AND CAMPS,,9,56,104,`1,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,"NWABUKWU HALL,AJAI ILLAH",,1,20,45,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,AJAJI VILLAGE SQUARE,,4,30,43,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,OGBEOLU/UMUTEDEM OPEN SPACE ILLAH,,4,13,31,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,OPEN SPACE NGENE FARM SETTLEMENT,,11,64,111,4,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,IN FRONT OF THE HALL-UKUMEGE/ONYIA/UMUYAGBLI CAMOS/OGBEOBI/OGBE ONAJE,,21,54,108,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,"BASIC SEC SCH,ILLAH",,15,20,49,4,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,OGWA IYEGBUJ-IYEGBU CAMPS AND ENVIRONS II,,3,23,48,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,NGEGWU PRIMARY SCHOOL-NGEWU CAMPS,,3,14,92,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,OPEN SPACE BY WATERSIDE GWULUGWULU CAMPS AND ENVIRONS,,4,20,70,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,SKILL ACQUISITION CENTER ILLAH,,18,27,88,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,"ILLAH  MIXED GRAMMER SCH,ILLAH",,2,12,42,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,ILLAH,OGBEOBI OPEN SPACE,,7,35,45,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,ELEKAMGBALA COMMUNITY HALL,,4,6,35,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,PRIMARY HEALTH CENTER OGBOLI,,2,7,50,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,UMUAGAHE SQUARE OPEN SPACE,,0,2,12,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,UMUADIGWE HALL,,1,14,15,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,UMUNWACHIE TOWN HALL,,2,25,13,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,ANYALOGBOR PRY SCH,,5,14,47,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,AKWUE PRIMARY SCHOOL OGBOLI,,3,17,22,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,NKPAZUNOR HALL,,2,15,32,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,OGWA ANI-EZUKWU HALL,,8,35,65,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,UMUEZO HALL,,7,4,25,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,OMU GIRLS PRIMARY SCHOOL,,50,21,109,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,ANYALOGBOR PRIMARY SCHOOL-ACHALLA AND ENVIRONS,,17,47,46,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA I,OGWU OGWA OGBOLI-OGBOLI/UMUODOGWU/ADIOSHA,,11,47,139,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,IDUMUOBI OFILI HALL,,4,32,31,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,ITEGO LAYOUT OPEN SPACE,,8,17,93,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,ANIOBOSHI DEMOSTRATION PRIMARY SCHOOL,,3,4,45,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,CUSTOMARY COURT II,,4,10,52,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OKPUZU OPEN SPACE,,1,11,29,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,MULTIPURPOSE HALL,,10,42,59,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,ICT HALL ISIEKE,,10,8,26,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGWA UMUAFENE HALL UMUEKE,,5,5,32,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGWA-IDUMUEZEJE UMUEKA,,8,75,64,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGWA-ODONKWU -ODONKWU CAMPS AND ENVIRONS,,4,20,52,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGBEOWELE HALL-NWAEZE/ISIUZO/UGBOLU UMUAJA/OGBOLI/ALIGBO,,20,70,125,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,IBUSA POST OFFICE-ISIEKE/MKPIKOLO/UMUOGBELE,,9,75,137,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGWA ISIEKE -ISIEKE/MKPIKOLO/UMUOBELE,,33,35,110,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OMU BOYS PRI SCHOOL II,,1,4,58,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,IBUSA HIGH COURT,,1,3,22,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OGWU-UMJOBIOKPOLOR,,2,23,27,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,KAFAS PARK IBUSA,,5,5,36,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OMU BOYS PRIMARY SCHOOL-ODAUKWU/ODAFE ISIUZO/OBI AJUDUA AND ENVIRONS,,8,11,165,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OLD IBUSA TOWN HALL,,3,3,5,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OGWA UMUEZEAGULU,,1,49,41,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OGWA UMUEZEKOLO,,3,53,12,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OGBOR IWU HALL,,1,8,39,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,UGWATAKPO PRIMARY SCHOOL II,,0,1,11,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OSHIMILI NORTH NURSERY AND PRIMARY SCHOOL,,3,25,3,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,IKEUGBA OPEN SPACE,,14,21,43,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,EZEMESE PRIMARY SCHOOL-UMUISOR VILLAGE II,,12,55,124,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,OGWA UMUDAIKE,,11,37,84,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,EZEMESE PRIMARY SCHOOL-OKPONTA VILLAGE III,,8,11,89,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,OGWA UMUDAIKE,,11,37,84,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,EBENEBE CAMP,,3,18,25,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,OGWA ODAGWE,,18,43,102,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,ODOR RUBBER CAMP,,8,14,41,3,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,EZEMESE PRIMARY SCHOOL-OKPONTA VILLAGE I,,6,28,111,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,ANIOKWE HALL-AKWUGBOKO/AKWU-OSE/ANI-AKPAKO/ANIOKWE CAMP AND ENVIRONS II,,2,6,13,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,UMUNWAINA HALL,,3,1,36,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,OGWA UMUNEZE-NKPAKPU/OBIYAM/UMUEGE,,16,56,156,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,UMUEZE TOWN HALL,,2,11,71,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,PROPOSED OMU BOYS SECONDARY SCHOOL,,5,16,61,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,NKATA HALL UMUEZE,,8,13,87,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,ANIOKWE HALL-AKWUGBOKO/AKWU-OSE/ANI-AKPAKO/ANIOKWE CAMP AND ENVIRONS I,,3,6,34,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,IBUSA GIRLS GRAMMAR SCHOOL,,7,7,98,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,ANIOSHE PRIMARY SCHOOL,,33,44,111,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,OGWA UMUKANYIA OPEN SPACE,,2,10,80,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UMUOBIAJE COMMUNITY HALL,,3,5,24,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,NNEMIYI OPEN SPACE, ,2,13,103,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,ORUCHI COMPREHENSIVE SECONDARY SCHOOL AMACHAI,,7,8,326,3,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UMUOMAKE COMMUNITY HALL,,1,1,31,0,,,,,,,,,
