STATE,LGA,WARD,POLLING UNIT,,APC,PDP,LP,NNPP,,,,,,,,,
DELTA,OKPE,OHA,OPEN SPACE BY BEND CORNER OHA,,8,20,30,0,,,,,,,,,
DELTA,OKPE,OHA,"OPEN SPACE BY JAMACO STREET JUNCTION,OSUBI",,2,1,20,0,,,,,,,,,
DELTA,OKPE,OHA,UGOLO TOWN HALL UGULO 2,,26,22,57,0,,,,,,,,,
DELTA,OKPE,OHA,"OPEN SPACEM BY LA IRO STREET JUNCTION, OKUOKOKO",,7,15,134,1,,,,,,,,,
DELTA,OKPE,OHA,"OKURIKPERHE TOWN HALL,OKURIKPERHE ",,19,31,92,1,,,,,,,,,
DELTA,OKPE,OHA,OSUBI SECONDARY SCHOOL 2,,2,14,108,0,,,,,,,,,
DELTA,OKPE,OHA,OPEN SPACE BY IKAKA STREET JUNCTION OSUBI,,0,0,10,0,,,,,,,,,
DELTA,OKPE,OHA,OPEN SPACE BY LUCKY STREET JUNCTION OSUBI,,2,2,78,0,,,,,,,,,
DELTA,OKPE,OHA,"OKOZI TOWN HALL,OKOZI I",,7,55,9,0,,,,,,,,,
DELTA,OKPE,OHA,"OKUOKOKO PRIMARY SCHOOL I,OKUOKOKO",,12,8,159,1,,,,,,,,,
DELTA,OKPE,OHA,OKUOKOKO TOWNHALL OKUOKOKO I,,11,12,148,0,,,,,,,,,
DELTA,OKPE,OHA,"OSUBI TOWNHALL, OSUBI II",,14,46,166,3,,,,,,,,,
DELTA,OKPE,OHA,"OKOROWHE PRIMARY SCHOOL,OKOROWHE",,0,0,1,0,,,,,,,,,
DELTA,OKPE,OHA,OHA TOWNHALL,,9,11,164,0,,,,,,,,,
DELTA,OKPE,OHA,"OSUBI TOWNHALL, OSUBI I",,8,58,433,2,,,,,,,,,
DELTA,OKPE,OHA,"OKUODIETE TOWN HALL,OKUODITE",,31,64,66,0,,,,,,,,,
DELTA,OKPE,OHA,"OHA TOWNHALL,OHA TOWN I",,21,40,65,0,,,,,,,,,
DELTA,OKPE,OHA,"OKURIKPERHE TOWN HALL,OKURIKPERHE II",,9,24,174,1,,,,,,,,,
DELTA,OKPE,OHA,"OSUBI CIVIC CENTER,OSUBI",,5,15,127,0,,,,,,,,,
DELTA,OKPE,OHA,"OKUOKOKO PRIMARY SCHOOL I,OKUOKOKO",,12,8,159,1,,,,,,,,,
DELTA,OKPE,OHA II," ODJEDI TOWN HALL II, ODEJI",,7,6,8,0,,,,,,,,,
DELTA,OKPE,OHA II,"OKWIDIEMO PRIMARY SCHOOL,OKWIDIEMO",,76,75,34,0,,,,,,,,,
DELTA,OKPE,OHA II,"EVWRIYEN PRIMARY SCHOOL,EVWRIYEN II",,43,33,26,0,,,,,,,,,
DELTA,OKPE,OHA II,"EVWRIYEN PRIMARY SCHOOL,EVWRIYEN I",,51,83,22,0,,,,,,,,,
DELTA,OKPE,OHA II,"OKUIGHELE TOWN HALL, OKUIGHELE",,62,81,27,0,,,,,,,,,
DELTA,OKPE,OHA II,"UGHWAGBA TOWN HALL,UGHWAGBA II",,17,54,22,1,,,,,,,,,
DELTA,OKPE,OHA II,"UGHWAGBA TOWN HALL,UGHWAGBA I",,6,20,96,0,,,,,,,,,
DELTA,OKPE,OHA II,"OKWITAIRE TOWN HALL,OKWITAIRE",,38,68,22,0,,,,,,,,,
DELTA,OKPE,OHA II,"AMUOKPOKPO TOWN HALL,AMUOKPOKPO II41","TOWN HALL,AMUOKPOKPO II",41,51,16,0,,,,,,,,,
DELTA,OKPE,OHA II,"AMUOKPOKPO TOWN HALL,AMUOKPOKPO I",,32,32,17,0,,,,,,,,,
DELTA,OKPE,OHA II,"ODJEDI TOWN HALL,ODJEDI",,43,38,34,0,,,,,,,,,
